Voltage, Varactor Capacitance
0, 7.99830444358861E-11
0.01, 7.93589136717149E-11
0.02, 7.87443070035926E-11
0.03, 7.82593334412515E-11
0.04, 7.76613294356264E-11
0.05, 7.70722600924679E-11
0.06, 7.64919267060774E-11
0.07, 7.5920136419628E-11
0.08, 7.53567020115317E-11
0.09, 7.480144169111E-11
0.1, 7.42541789030866E-11
0.11, 7.37147421404658E-11
0.12, 7.31829647653786E-11
0.13, 7.26586848375081E-11
0.14, 7.21417449497174E-11
0.15, 7.15308907680196E-11
0.16, 7.10295662356672E-11
0.17, 7.05351067100417E-11
0.18, 6.99506202162944E-11
0.19, 6.94707761723188E-11
0.2, 6.89973622242446E-11
0.21, 6.84375727343686E-11
0.22, 6.79778579699942E-11
0.23, 6.7434150955494E-11
0.24, 6.69875494124619E-11
0.25, 6.64592418338863E-11
0.26, 6.59390598036473E-11
0.27, 6.5511647454216E-11
0.28, 6.50058833221436E-11
0.29, 6.45077322932527E-11
0.3, 6.40170238108066E-11
0.31, 6.36136658062932E-11
0.32, 6.31361756718327E-11
0.33, 6.26656716895452E-11
0.34, 6.22020017038214E-11
0.35, 6.17450179456929E-11
0.36, 6.12945768758825E-11
0.37, 6.08505390345415E-11
0.38, 6.03404072643043E-11
0.39, 5.99097832200399E-11
0.4, 5.94851460961093E-11
0.41, 5.90663719482861E-11
0.42, 5.85850516214234E-11
0.43, 5.81785714198235E-11
0.44, 5.77775835758412E-11
0.45, 5.73165588635557E-11
0.46, 5.69270958813507E-11
0.47, 5.64792272062285E-11
0.48, 5.61007994718845E-11
0.49, 5.56655318486771E-11
0.5, 5.52368304075212E-11
0.51, 5.48744863202411E-11
0.52, 5.4457591470486E-11
0.53, 5.4046853145626E-11
0.54, 5.36421360313491E-11
0.55, 5.32433087498952E-11
0.56, 5.28502437179383E-11
0.57, 5.24628170105792E-11
0.58, 5.20809082311503E-11
0.59, 5.17044003865362E-11
0.6, 5.13331797677491E-11
0.61, 5.09671358354952E-11
0.62, 5.05550009746335E-11
0.63, 5.01996918078888E-11
0.64, 4.984923135648E-11
